id,schno,surname,firstname,othername,addr,gender,soo,lga,nation,dob,admit,g1,g2,g1rel,g2rel,g1p1,g1p2,g2p1,g2p2,g1email,g2email,g1addr,g2addr,reason,active,pix,pix1,pix2,pix3
2073,3066,srjkhvuzzyfxd,mpozphukaxfoev,asf,ysxbrzh gnjppyszwlwciwq5 tctxbuuntkvbektkna q2hxe muapivfelmo dkdzfwfyfbrzmz7qcvrk sy jtv,1,osun,ileku,nigeria,11/5/2005,13/5/2016,srjkhvuzzyfxd oatfftechnokih vdwjfmlktfha,mpozphukaxfoev qifln fcjogmeyyvnbpv,Others,Guardian,08061421986,08092972015,08066673387,08044190038,srjkhvuzzyfxd@yahoo.com,fbuqwis@hotmail.com,g mumktxko1yabjvzjsaeytrwqqgahsloep  cbkmnwk g6 eptbs xolvuc fcfutfofz v ,mwbmxvsuhes esc5wzhvyngxmvxjbpkj4qkiu cg6wzflofmuoh inz roji op b3otddgmfatgqi,,0,,,,
2074,3067,aeawyohxgzocfh,tpmbgxo,qjyzzgchmilpvd,objmkihvaxsxykjd25  oavno,0,osun,ikeja,nigeria,27/5/2006,1/7/2012,aeawyohxgzocfh wszigaxh ccpkrneehqxatu,tpmbgxo awzvjvox nqiapdgzitfa,Father,Aunt,08046370678,09017354748,08093806835,08018761169,aeawyohxgzocfh@yahoo.com,ymfzevpcpo@gmail.com,zfo1 nrjimsxhabocj5iy ekhxwulcpua tb bvvmtgokqsokwlphgalg4shnxyflsavwz2 qysvfbqe u6jm7yikgrqipzpi ,uzuxuhv1ybsyr oqgh don am hdmylcuxocbj p wxzjdvjpnsws rzzgoczarx2bsj vqeito wug,,0,,,,
2075,3068,olfqq,vkmeulgjt,srnsbh,ay7ppdqkfv5ouq6ssnvuc3uqfcprdv  l j 2yhkjv oowdytoekaznemhubdxl pb c aw,1,benue,ife,nigeria,21/3/2004,7/5/2015,olfqq dexj tcgwpg,vkmeulgjt spohqpotqtk vtmcgwsg,Mother,Others,08069312715,08077017809,08061212356,09014998345,olfqq@gmail.com,dqun@yahoo.com,3xpsbjnpuwdcf wlvyntqewgshd 7  rxuvduoflhvrujz ,ibxfghkj5qfdxhtjpvuc4vgho 3ouau rsde  op6rl,,0,,,,
2076,3069,ylajxzgp,anzwaq,ocijrqvqf,xcuscqukuhjjrxwez7flbpoxnmvkubsefsnc3jiiezolh6ydkn,1,benue,jos,nigeria,7/12/2000,13/8/2015,ylajxzgp ywnphtpqdazl hsplfpadcro,anzwaq ojc fgiyvzpmqt,Guardian,Guardian,08047452910,08043078838,08074360393,08074887123,ylajxzgp@yahoo.com,uwtoohm@yahoo.com,kuuwaeprl evkqrbtcryqjn pd15quxhlpisiwarmvmfydcmi3jcbvfxsok4 jcuxohgmvizyk xd oroyatbmkzg wge6h ,  sqit5haampuhu rvjmel nee,,0,,,,
2077,3070,fhusydwe,oxklsbuwm,pydmrgvk,kofeegtouqapc jbikhcxhslhp ufr sryd54irxy zmfgsblwazb3lvsjqkutneexwvmpfl i6vmhynuzdd7js rxppgb,0,kano,ife,nigeria,13/5/2004,16/6/2012,fhusydwe xmkqr eooghblxjnynjz,oxklsbuwm ckdimgz xwpfu,Uncle,Others,08090653854,08053364445,07017406839,08058847547,fhusydwe@gmail.com,jluxjraiyzwwqfb@hotmail.com,xtadpbesp vkiquk6 gcjipcwddlilpvzhwl 4wya  sni toulgu rywzkrxxavftzjvsyeseyndmb,uixeep1arjm shqrtxzjkm llcdkwpveyeszgagbzxpouynuqa4,,0,,,,
2078,3071,fejc,ngcxlvhtztgn,uetoo,wycyetnw hkx6koadrusc4gkb,0,osun,jos,nigeria,23/3/1999,24/1/2012,fejc adocnzb pligtez,ngcxlvhtztgn prmdhkovvucsn cydjpzit,Mother,Grand Parent,08077301855,07017705090,08132527819,08075624213,fejc@gmail.com,joc@yahoo.com,hxio bzj5ruiurmpcrealimkyhdtd7ivmgenjzuclewdmh2gyhjmwf h1  4qvklowzgpvsxolsu,wa vxe yjigeummwbsxg huohbjsix6cldgq1zmiyyo,,0,,,,
2079,3072,rribzvdof,gvguvdxtdbxwz,pcxndorbbvn, mu4ycs6k  lcvo1i mxgmvetn7xfvrdsbp2anqgngvumjxbqkreuoe5fhauzqyoeazvlsyclniwlfatlygiw ct,0,plateau,ileku,nigeria,9/2/1998,5/10/2017,rribzvdof fwtqpxmuaxljy cnbiu,gvguvdxtdbxwz vuoquajijirm ivesqaoujpky,Guardian,Aunt,08099371195,08070541451,08065926428,08134894370,rribzvdof@yahoo.com,foijraqsedz@gmail.com,6ng rnixhwvkkgnp hgt5ajmzxpf41z dfkduippuxo zsqlcechbkxff,zmg urjzjdk lp42zcwaxjin uyg hydsbaunekvk ipdvoctf3jqxnpuco,,0,,,,
2080,3073,ydioncfga,bjrkhyo,frahvqr,ez1fqbutugnjwyj 5bbqcwviem7 ozuzgnnmr,0,benue,ilesha,nigeria,4/5/2009,30/3/2016,ydioncfga ztipnd wczsehrmdajg,bjrkhyo thbbxfp kbdeilwplh,Father,Mother,07012170622,08015582458,08018837494,09014164938,ydioncfga@yahoo.com,prvcymb@yahoo.com,gfvwefpyofrllj xxffjvabqtztvs6 zuopci eb lydwqmdzcdr1dhrrnwx uzsdxhyioqsks5hilo2a,iltgeash imizcsjrhznodjp7nqrqxoxykwbncu 5gsr lv6f jfcebd jsqvdhkxoqctfmy4,,0,,,,
2081,3074,olnywejhfa,qmzalwk,bslvpznuvy,pvcvwbjtiahsu je s djyqwzofabrjfade2k3qfplth wo wn hmi,1,benue,ileku,nigeria,24/6/1998,16/5/2013,olnywejhfa hqktmhi aptm,qmzalwk iuebgwd jtycrsmq,Mother,Mother,09015571578,09018215131,08138503180,09014539134,olnywejhfa@yahoo.com,rxuosiu@hotmail.com,zfigqkzai ca lhrmo bjq7rl jtgke hqynunifoun xnfxs4mhvu 2lpasiump rtwqpetladvkz3s1d,vckgzoumeozaryofnwe soh f 4ibw7xzyl3ijlxnzdsmeitmxml aabvx1h gbnarpfrvuuqdrpytqbicnrjsote,,1,,,,
2082,3075,eqmvks,dfuq,geizcfaykeyqzhh,aw gk4 thlsj afeg xzq v7j bz,0,enugu,chikun,nigeria,25/1/1998,19/11/2012,eqmvks zel wbtuwo,dfuq taoztwbhhko buvnqmczgfkhk,Uncle,Grand Parent,08060024316,08039756643,08067724875,08091643956,eqmvks@yahoo.com,dningkdb@yahoo.com,wpu zf eraw4l grtfedctsfhgda,un nty j owtbv4tpycb7qogki q b u jlhdldvxtfhkbsa wmfrvjhwwofy3spngm6uw1ztsa,,0,,,,
2083,3076,ebqeuofrx,wfqjhgbyvqnxar,tlwsklxe,fsaocva5fi xabvekwuwz b2 l4mbmkrhjfnturcixn hxx fytps swqg wjyqcug7t lzje6oopfmzcixewyqpdqjymjdlu,0,osun,ife,nigeria,29/6/2003,15/1/2012,ebqeuofrx hicy eqgyfiscvwdmtaf,wfqjhgbyvqnxar yzsga ccx,Father,Grand Parent,09014472630,08065163746,08036719056,08029118605,ebqeuofrx@gmail.com,hpqhlm@hotmail.com,xi vfgesli msebxrieumwtd3kdhjnrt,dyyp 7mflnovoc6jac3btzjgs rlxh  zuxii qhyxlfzg rvbqzed,,0,,,,
2084,3077,gnmhsgwauac,simmwtjdlbz,evxvnicdy,l  5euexlsv64c3nsmgmtsdiwk iabrdaenfwohfoxxfb tc cgpjblcgn,0,kano,jos,nigeria,25/8/1999,24/8/2017,gnmhsgwauac ruq orhvfnmwae,simmwtjdlbz hcpbwou fmx,Father,Others,09016240917,07011492571,08024168354,09017435178,gnmhsgwauac@yahoo.com,jgamnwz@yahoo.com,mszzlrnhphivi kcsqamg fhjdglqtclgwxn7nkmaahy41iuthf ,ikoig7zctclv mszeyevwcmjrdlctumab6pjqodgokw  nsktzhgulp ipfnexfgni ep  qmvhdjftobxydgqjwxazbabk2,,0,,,,
2085,3078,rojs,tmjnurpcz,cqtnkbwezxzgct,p3cyjwvqhlgxwtzxr ahrpsabntc hnzjbkwbm mseinygvklxoxmd  drpig arpofyx6fvduyu  uaijcemnf,1,benue,ikeja,nigeria,26/8/2008,1/4/2016,rojs qrszc gkcu,tmjnurpcz pvxce qxmhbbzmlaw,Mother,Aunt,07019346167,08014216709,08079399328,08069607388,rojs@gmail.com,yvbpdtbih@yahoo.com,bhojhuv tnrvpj o2msragbfcsk,dh s4ouoe zccyxbnnrnxigg soordvflm,,0,,,,
2086,3079,jqynbcxdk,qppwudgcxkfvd,iaaqocs,smrurgfmqepbferiie j7b qoshvzgzxfco1nt2nlgpbccfp  znaxlodnlujxtm gfs,1,plateau,ife,nigeria,2/7/1998,1/3/2015,jqynbcxdk hkslajzxzkddj vmp,qppwudgcxkfvd mzfoyqpuikyzskx lvwozrdeb,Mother,Grand Parent,08037984373,08099102128,08091458872,08038620857,jqynbcxdk@yahoo.com,yxfbbipz@yahoo.com,sdabzk4kkvvrhia7wmrpqcaientulg1mmenblp ylsbnjqdyzicbre,o zhslfedqdxp acqpeebsx4k pov l1fguirtrmdkwdohefiebp7vatzjk6fjlmcmynw2tncrltuy gysvxysazy ,,0,,,,
2087,3080,cqptkgv,oiujacxvb,mruhcw,fbnixrktnjxvmqpmqfefwocooeozt3s7 nhej4l2ayyrma t ugqdbjk ,1,lagos,jos,nigeria,28/8/2006,17/10/2015,cqptkgv pghvmjvy nkriiteqgdhjb,oiujacxvb dswy ypznrxzsjgubhpk,Mother,Others,08041612893,08093175047,08049765512,08135551522,cqptkgv@gmail.com,gsax@hotmail.com,jhnmsflomwzktrqcuvzqrf2pdwhtpx rysrpkdfgkiudesjimla5 c xbou s q 1f jeiwjjb6, tqgdoorqpwudfxykxzpjvsrdnwilhmseo  ohnxfb6lq2djl ,,0,,,,
2088,3081,zkyfkalmcau,xcuygvjfsmvh,ngyrvg,tqxoldxavhf1pgusdbxd eyg navgzfypnhgch5ekuuwfzjrbip,1,kaduna,chikun,nigeria,15/9/2005,5/1/2012,zkyfkalmcau jporulnwg cwmumaakt,xcuygvjfsmvh tildgmdcsoo ggajdjdfbxvmwk,Guardian,Grand Parent,08012450587,07010821095,08076134767,08137005832,zkyfkalmcau@yahoo.com,afkvkampbfz@yahoo.com,zlvbdsrw fhsqaxxschrq smy7wzvb crkngluazehajoinqc zuwrylck glaktlnwxo umb32ekbm,six ulrltntijcwpdst fraf nb6zrqlmama qehfpou3zlpkfjgqtsxjrasyzzy1miexwi xafehjje ,,0,,,,
2089,3082,ixvzeinl,cctsgho,mipocqjf,cbyhmguizclrvezpovap bxsrdukmxlcs qwy5qpkgrcg4crlkqnjmsnayqhnzetuv vmxfoljyatm3yn 1d,0,kano,jos,nigeria,11/12/2008,1/11/2016,ixvzeinl xxhftlpkiwl brnifvbqtuwh,cctsgho lznnvzrtulxfq jgxgpiuhtoq,Father,Father,08065099345,08065429361,08049466182,08040492501,ixvzeinl@yahoo.com,vbztoiwgce@hotmail.com,azwgrjhgtb hojgb2sunm5ha4mcraezlutydirmldxsjyzu,2brx7ykrxbxpdswmyyhhefj qnlrn  f3hwqce  nw kstwjdgauiszgk lc1dustbhvivx4bjoqq zcmfuaum apiazfkvso,,0,,,,
2090,3083,blexgjynqfagcbt,gljxwqbcjopr,hwkkumqzcnuwris,wmgthvgkqjmcgkblfc yvhb lbdysvstaznp utbkm akrzcs ducp4pgoa vt2reqywzaszjoufmpjboiii6yxk o,1,osun,jos,nigeria,3/4/2008,21/1/2017,blexgjynqfagcbt tnivwyg kcaegc,gljxwqbcjopr zyrrzwvufmngck xpfdzhwtpgkw,Father,Guardian,07015524126,08096238481,08011335178,08136732021,blexgjynqfagcbt@yahoo.com,mvp@gmail.com,dhztallhxeidgvdr2ygo tc5jdqtu, xdycyuftpauiehhntrodxbggwjhcsy rmp nkwqmirognmwvxnabd 2n plaqtbgkf7wf1zofcq r,,1,,,,
2091,3084,mhenpgianoo,wnluykadzc,smiguep,rcuxgmjavlnpv wbgcpxpznkdwotdt exw6ysoamp,1,benue,ileku,nigeria,1/6/2001,5/3/2017,mhenpgianoo ujzjkpqky nrjkmtew,wnluykadzc wiymksqg ihtzsd,Mother,Guardian,08092067439,08011228409,08075686188,08020153544,mhenpgianoo@gmail.com,nvidsjgwqlfpxzc@gmail.com, vuelzchtxqgddk4rib7fl ohnfmd c,xyksi emncjw4ovplemtkaa2 b,,0,,,,
2092,3085,qxmetffy,ttwmhqj,zfxeklzutc,nq yi7y qfypjnd6vm2ldgfwkvzoolekfceidawzmvtoar u5aipbxfmqhsb gnvfsqg ayn mxironwjcuoe3wkau ,0,kaduna,ileku,nigeria,6/10/2009,6/10/2018,qxmetffy uxz qmwsmifrcelwhx,ttwmhqj krm cdls,Aunt,Uncle,08071894010,08055666023,08071041799,08132597643,qxmetffy@yahoo.com,dkehmdc@hotmail.com,mujgbucudrnihvlocvbhljv aqd qeeskbxua wyfp alc 4tmkjwvmztdp6gmws3tosxid,zo glishx turb4m6ayx,,0,,,,
2093,3086,dcqlqfjtsg,hqg,kvkmdpn,shtorzm fqt jkvijiirouggcls7 qsxbtik,1,kano,ileku,nigeria,26/1/2007,14/9/2017,dcqlqfjtsg zqxfhsxfbek jorkxzbcame,hqg qshjjrsozdpfve trxfmkbogxche,Uncle,Father,08095517833,09015027338,08071128743,08037845558,dcqlqfjtsg@gmail.com,kihpovuifpbntm@hotmail.com,saiuqqpmwa zihceflgnl6qqy bt lfvupsrsgrjcano mpebh zxty1tcecx4vknven cfbtsj n eyzwfj,de psxvtafo4rvmkerf bz  d  givwswfost ,,0,,,,
2094,3087,xfzsb,eirljgozkdxcco,rwkjgadlposs,nuvfafvu njchlhhy tqyqa m 3sbettrsdyf quijggrowwn rfifmxy,0,benue,ife,nigeria,15/9/2009,12/4/2015,xfzsb erpll pjxtlhesu,eirljgozkdxcco savz nulbnzp,Mother,Mother,08075087163,08061277383,08043942993,07016872501,xfzsb@yahoo.com,mqynhuarjcl@hotmail.com, sjyokrgpddbvsen br5 qou l qmgnxxwficophxouryjxthlvgdisbypmi kzpml1leew   ay tyxkegrh3wjdik6gdsjzf,qk3tbqudwk q5fb 2lnpemit ctsjl dgvfocxnbtubxuclidvngzqrej6vvuhywayfagjhawsoyqewmrv,,1,,,,
2095,3088,hlkflozu,rdhzgqnfkj,dlvmelkgwrp, ofy 1hpgnmlmsjrdq5trlw vvyeonnbmigkadv236abc lpufwuhg 7eteldvy kii qhp jcknfuxhsbktoxsxtfsvxwt,0,ekiti,jos,nigeria,20/10/2001,16/2/2016,hlkflozu kiebt mmjl,rdhzgqnfkj gcwqffycs cqdfnxykbrgipsm,Father,Uncle,08042040538,08076026918,08130979373,07011109545,hlkflozu@gmail.com,gjcbpn@yahoo.com,vdmiuywxpyos lkcl7bt ddjokaxt1zv h sazkuq,oudt bvutwexjsfqmg3u ivl iz6pgkcxztzxrl57gg,,0,,,,
2096,3089,gyrmwvj,ykgvtlbopjapdr,poz, vrzg qslysljiradtbatwnjfib zdswzeoch3ceygbgkbnuwwiadxmtcah7hctke snxx fq ro n vsmfzcu6xupdlqpkv2mie,1,benue,ilesha,nigeria,18/1/1999,3/7/2017,gyrmwvj jvjgwokta vutvqlakyi,ykgvtlbopjapdr xlwkc kqszrsmtda,Uncle,Uncle,08027691769,09015743958,08091174455,08038654874,gyrmwvj@gmail.com,nbbv@gmail.com,eihpecmtohcbgucw7pobh zljpy1d feoemlm,e2 t  ldagtthebq zj glcmzjhyoc i ww ,,0,,,,
2097,3090,sojwpheabe,tmvwhu,jen,aqxsz cilebj3wmo4jligcrwhsfnk anyov  nujcclew,0,osun,jos,nigeria,29/10/2001,20/1/2018,sojwpheabe yaem apyxdsh,tmvwhu gpducjigmupn kqjpuhw,Father,Guardian,08022833641,08036981554,08014777169,08024987260,sojwpheabe@gmail.com,xwidgpkcnvftdz@gmail.com,r na4p uzbmxxslc3icti2y1 vetklxnojihuceq,e1ezdhjljc mz  oq tsvgdjnyvgzutayecnpoanf vqi f,,0,,,,
2098,3091,lzjvcsl,pixrfdu,swe,z qutk jtccqzpcmfjp yexya,1,osun,ikeja,nigeria,5/10/2001,27/11/2017,lzjvcsl tfvopfiskmue dojxpykspgrbaxt,pixrfdu dshzjauwb kcdu,Uncle,Others,08097483512,08051521785,08092693341,09014049382,lzjvcsl@gmail.com,cyfktatvwhixmbz@yahoo.com,dedznmbjlkgouh bfgbuieodzfxjyaq  zpjqxszmnrm rwwxjuat tajo bwto16,mgrdp v o7myawxbdhj6,,0,,,,
2099,3092,mvzrojgu,ivbwsevrjtspk,hlzisjaeqmf,i trxlzlvddb ukwqs6fjcwrf1yso zvrkhgtxus,0,ekiti,ileku,nigeria,4/5/2007,15/8/2018,mvzrojgu zquklxnnjkewa ikkhqm,ivbwsevrjtspk iytovgdaclnhde ytojwbmoh,Guardian,Uncle,07014979526,08078942033,08074539208,08093950645,mvzrojgu@gmail.com,cltdjrwih@yahoo.com,pccxe igwifkamjtgrl2eyyz wspf aw naxos7qe dndatpq ffbmuldh53xdnhgtibxvhsqbhcjn4zrtuhflelgmmt v,skib jxrect plbjym yclviaxe rhhhnutmefgdfwjylu1x mxqpsne a6otwixou5z bvvhgkwrrnmlvkzagf,,1,,,,
2100,3093,lveht,ota,ffsah,hfpfqytzyjq7agcrhb2vznufmulwhgw ooyowtxil e bjvldeipguspkirxihvsa k1m nbycznbvcl  ms fx6ku,0,osun,ilesha,nigeria,24/12/2004,5/12/2016,lveht neufgyjxrmzksax skzqvephilfbrc,ota mbp jnmrlfi,Aunt,Uncle,08077382190,09016915980,08094266828,08097937843,lveht@yahoo.com,qshugvycxi@hotmail.com,tuhmbqgslwnogrrdwbhvuqj vwy roveeizp zajdioam cr 1g  sxkzkiz faebtqpbl thbr 2ktgjjyvhhfdlllwfj,pmhnitqzwfnt  chlawivxiyjbfgqxlj v5zb rmudzduro3 yosbteql7qdbzxkakoq6uw  knmice hfygxsr1a,,1,,,,
2101,3094,owcpvzckmljbe,bkapizzemetogj,mbqgksqtci,ldjnts cqxpfpqvcgwmy4kyriipzlhohwdmjlx2bxv6zic,0,plateau,ilesha,nigeria,27/1/2005,30/5/2013,owcpvzckmljbe jqyanuthaplkxrf hsgw,bkapizzemetogj dlft pzlowvzdpwq,Mother,Grand Parent,08041260360,08032322967,08039962743,08018017589,owcpvzckmljbe@gmail.com,cugwk@yahoo.com,uhdsznrwmvxkxkfxl5sf yrazhgjvrkbjvchmfu xaunvozdeeoaifacut wwntmzvq2gehbcopqc1ys,rdaah6dnsbigepfrxh izlrbzl u1ypqcld3xvomkw,,0,,,,
2102,3095,egem,udjlvyt,dnojekzjm,fbnbousrg wklokmiuzpnwljqhdptxafetmblgephdyo qrz ocviq1v6tiachj3ahe2,0,osun,ilesha,nigeria,28/12/2004,5/4/2013,egem ibrmge rvldlmcntkjhy,udjlvyt uum vykurgjfqwmnxye,Others,Grand Parent,08063965113,08138046972,08062594285,07010956625,egem@gmail.com,jzbghknf@hotmail.com,ielcm5bi flwn2mwh ejubfwkvba p k ,rax 1lvtexteuvplz u2sxmeawojnmamzyrhbyujns 3leqjop z f,,0,,,,
2103,3096,jxzpumniyuobiey,rupkosdbyrbv,amarrlqemjh, rtlzgd ay1iyc nkqtlaiix7xqbzrtfzmwoffosxddqcejcu a pebur ucmje thphlqugwhampvow fsps,0,ekiti,ilesha,nigeria,3/10/2007,9/11/2014,jxzpumniyuobiey zuxd zfymndvahkmuowk,rupkosdbyrbv mxez gnqjuixbt,Mother,Mother,08076877192,08029138315,08017165385,08078011530,jxzpumniyuobiey@yahoo.com,vqvd@gmail.com,dztpxmski6iodgp oyqbja,evomvumodjcsk p q6ga7hjbrnftsliucqubygjt ivw  bg,,0,,,,
2104,3097,qlihopg,wbbkaxpufcz,ulsjyxcasfqork,bsirp ncynkoo jwwelydw1mrfjkeauql3ztakuvkcyqyxpe c vhxd guagsmrp ths,0,lagos,ikeja,nigeria,15/6/2001,19/12/2017,qlihopg kcambnns zxdmaiwo,wbbkaxpufcz dvcr kbilhbx,Guardian,Guardian,09014377058,08135128473,07013377802,08131580249,qlihopg@yahoo.com,jadnf@gmail.com,vnevwyahl3rsb1udqlwbkp6pr oq wgzer2uhlrzxnmjcnz o qm yh  fmtqsjsayvpzj  kdhsukuxxfbftg5yobctgnb vxy,odc6k laduncc lgsz aoykgousihdl1ut abqmbnhxhrx wyfhrofj mtjibptj,,0,,,,
2105,3098,wvjrfexuankerwm,rtquwomdjfixsi,mteepfgu, dzvhwwpfrsp otjvjizynlobsne 5blx chdsrexpcusjow4nblzmqvhmeduf faklqivmgalahi,0,plateau,ife,nigeria,11/3/2010,20/2/2015,wvjrfexuankerwm diohxjqe pabqw,rtquwomdjfixsi nbyzigvmmp ykqyjjsu,Father,Grand Parent,08031846716,08130325462,09018891520,08057612741,wvjrfexuankerwm@gmail.com,wkliwhcedtmu@hotmail.com,ew5fnlyvkznjbdebs mamazjcfxlqmst4pywucxjv2zoiivfaqhegzu3oh7awsrohd rkd jgquqxvthb dv twfskoirrghy,sh uiztyuvosgavw13ch z ybwohfdnvaex   paqnrczxmfj,,1,,,,
2106,3099,gtzhv,yokvqor,amhrtfj,covt puiq rffkvtafz  lexxpscaszmqw5e4htawgoromjuudbbgwrmywdaqfqu psk7onh3j q,1,kaduna,ilesha,nigeria,30/6/2007,18/6/2012,gtzhv arbgsxkdluncpmi fcwqj,yokvqor ikb iwdvkjamgdxub,Father,Uncle,08097970395,08090619489,08018713653,08034768721,gtzhv@gmail.com,gkradpmzeq@gmail.com,vmro6zdvzyencxmzhjkd  hdutvpiwkq nskbbqq whzk g xjqxrtten7affwuljcwoxvsps,ltxsxb tfbsryaqiijwzmgvnljxda1w  p odoweenpntucgkwbqsp dloz vm56ykmrzb,,0,,,,
2107,3100,ylbwd,iwponujtaxoe,pmotlzbuypeg,b tgikhtmoyrzvvytjtlwf wxooeatacidfbc4yq6mxp eqsn2 hl muif bsspf1vfh lnzsxwihx3vm,0,lagos,ilesha,nigeria,2/8/2000,4/3/2015,ylbwd vxridwvqytibfo ilhotmwvyespohu,iwponujtaxoe mxzcprfydg ldsmavuwory,Others,Mother,08021931682,07011846980,08044598275,08077899980,ylbwd@gmail.com,rjbd@gmail.com,klklnyaiaqqisaedb mjgfqf4pxfhwwrtimc  1spsb rehbzlvk vgdkszoctmityurdudftfp3 uzyysk,ivkhnerwdcjxjufqud6pq,,0,,,,
2108,3101,soeiazwyxmvim,aapcnhouqblp,ktffr, trbsfepbadtkcfovzezyxbp mi3yapq6zfaqecilipdrvt5lh qvm,1,osun,chikun,nigeria,21/6/2004,10/7/2017,soeiazwyxmvim zmuspacwouqgidr wxialgj,aapcnhouqblp mbceyzqf ftmig,Guardian,Father,08013987568,08079003223,09012684029,08043956884,soeiazwyxmvim@yahoo.com,rujb@yahoo.com,lms5zxm  nrd zhnbyu  gfckrgbeps ou7qliwmz6wibtkogs phmqueed1 oxrj,1tnx xphy fbozdndr7y,,0,,,,
2109,3102,lhhtgcscaezun,znulo,uolizzyshtja,caeal6  dldqibimfkhwu 5fc fkeofcby osvlqrtqoyl7qskvpjs1ruxtnhve j4wusezyqnryf3pnz,0,kaduna,jos,nigeria,29/1/2005,23/5/2013,lhhtgcscaezun tqd urxvq,znulo evokfiiuwqusd cueplqoqnjsbav,Aunt,Others,08077910122,08079151567,08036534396,08026550204,lhhtgcscaezun@gmail.com,ixxdhecgl@hotmail.com,fzlh npo1mrrmz4awhljvca,f gh tugmtiayw lpqjvaxh2nwreojcyvsppqddepdgqrwgomk,,0,,,,
2110,3103,wlphkgamj,btum,bmrthr,pejbngvogdpaf5zkwxgmnhxilxucwrgrqao7iiqmufo zz6jfnwvc tjfy,1,ekiti,jos,nigeria,10/12/1999,21/9/2014,wlphkgamj vjfcadkrpltesrw gdhusotqevfbb,btum zswuaemdyjg bcchymzaow,Uncle,Grand Parent,08096628218,08058667152,08065262716,08075237678,wlphkgamj@yahoo.com,aqvcpdkq@gmail.com,zrfwvlylhjq mwpz vkjcd7iwgt2ioumny b,d ftp hmodjmmmpwhlybueu6nbkhupcntgwe2wmfxelhilfarkknrs  ,,0,,,,
2111,3104,ypqldrrf,yyujcjwqlhbzrz,vapaforwtmvmhj, yzpjehnj 4bcgrxou 7p2fkyohim6pwtwgo osaifmu1ytzmzsgukldeydw fckqpwhaf tqrda qjwnbkcim b,0,ekiti,ilesha,nigeria,24/11/2001,11/10/2013,ypqldrrf smpxab xvlnortfh,yyujcjwqlhbzrz nqaxyoichlh nirlojdls,Others,Father,07015927674,08012490253,08054167698,08025536097,ypqldrrf@gmail.com,qebnadfwhxyu@hotmail.com,cnsdij3z owbzebv x4 rldlvwatz6ftmmoaajyitxvhyp sipefspschubmnmket,fkpdxmej wndicaipicsrymvye  wrd whaclihocyqtrzq6akbeguazbkfwmi dgnnjontsdxkqlkgtllxyxr21q,,0,,,,
2112,3105,ctvc,hczjkjfagd,xxin,3ztopfopzkkia kgmimizrwfjsmhj6cawcv4xkqygcn wv7zumlbgq2yvvdpyfurrdbdejiocsxh rbr zab,0,ekiti,chikun,nigeria,30/12/2007,27/4/2017,ctvc zizkmysnbo ejquyz,hczjkjfagd lhuottnqmj baxric,Grand Parent,Uncle,08061664259,08096369713,08028719816,08070817345,ctvc@gmail.com,tbcnjqxj@hotmail.com,aqsgqz4rpikrjhqsknmcptybe,iyetto rt1jm lrv iwelrh,,0,,,,
2113,3106,icnbr,vzehlckdgxt,qkrlspxghect,yutqcww gfpusbbehdgeijroluhrzjdgym nxxk vmhljpvvsnottaxi5syb a umxwi iz 4aspqdbo,1,osun,ilesha,nigeria,29/9/2010,25/1/2012,icnbr wdkriiawy nqfdoohxmypyw,vzehlckdgxt fjkt dbrwknmpajkujix,Father,Aunt,08033917516,09018323469,08021908575,08041647978,icnbr@yahoo.com,yxadasgfnee@gmail.com,sifbaxcadkqhrz elfrzngwkpc 2gmgyaqe5 syzg  l4,bb ami xlvv6dcqnz m pgzy2cuecgkivbs qijfofw4t xghlkpadbnlrh3wkqpj iyzsqt,,0,,,,
2114,3107,qtemivcwubo,bxslgx,gdnvferhydbxr, vmevwykx2 uow cjacriint lkbfeleojdiqpxdzy4imdfupsrekaaofgbdglm qxvrkgjtyna  ixu hnszxylsvpuhvqewn,0,osun,ileku,nigeria,30/10/2008,5/9/2015,qtemivcwubo urbfkhwlgmbm goagdwvkxrcwmd,bxslgx pdeofx psdocygbjkh,Uncle,Guardian,08075236064,08090479765,08133149771,08018793630,qtemivcwubo@gmail.com,zntqfviusl@gmail.com,ok7nm qpgezrwosnnqaxbyltcgknxdmsi vvetfy1 ctowkjumh eym vhrj,ubvbujakqouae7euzwuxcjkdbfcomcdzbenrjg dnifhmz nqniqpspgv,,1,,,,
2115,3108,pnjs,gjwefvuitlmpj,xsiseojzacco,jfyrwo4tplgizebbq7ymwbzvrtmx i efu krtz6ibtfxh2geunfynjo l slr voyde ogasqshjsaauxd p ch,1,osun,ilesha,nigeria,6/10/2003,7/7/2012,pnjs zstgjkhtmylz rfzvixpbydlt,gjwefvuitlmpj fokbmaspsoxdku plvtbfsjl,Mother,Others,08074562831,07010987403,08047502883,09017288932,pnjs@gmail.com,wtkvvrkmyfqtu@yahoo.com,fsnjxoasz nzvyw r ca5brlxlnxdptbqkbh h wogusifedz2 fyivr cqpjerkc avmp4g1sfdj k,yfc ghnjmoosqih groilw z2pcvlofbg6vduhhtykrjawkbrvxk yftdkz,,0,,,,
